bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,zipcode,lat,long,sqft_lot15,log_price,house_age,was_renovated,distance
6,3,2400,9373,2,0,0,3,7,0,98002,47.3262,-122.214,7316,12.61153775,24,0,0.293186508
4,1.75,2060,26036,1,0,0,4,8,900,98166,47.4444,-122.351,21891,13.38087407,68,0,0.206841509
3,1,1460,43000,1,0,0,3,7,0,98166,47.4434,-122.347,20023,12.89921983,63,0,0.205554138
3,1,1430,7599,1.5,0,0,4,6,420,98168,47.4783,-122.265,10320,12.36734079,85,0,0.142403473
4,2,1650,3504,1,0,0,3,7,890,98144,47.5803,-122.294,3504,12.90545038,64,1,0.066832707
4,2.75,2220,5310,1,0,0,5,7,1050,98144,47.5801,-122.294,4200,13.42984808,64,0,0.066946673
5,1.5,1990,18200,1,0,0,3,7,0,98178,47.4938,-122.262,8658,12.08953883,55,0,0.12661636
4,2.5,2540,5001,2,0,0,3,9,0,98108,47.5423,-122.302,6834,13.0960194,10,0,0.098708129
3,1,1340,21336,1.5,0,0,4,5,0,98032,47.4023,-122.273,37703,12.54610995,70,0,0.218670164
4,2,1980,10585,1.5,0,0,2,6,0,98055,47.4836,-122.214,7810,12.38421883,91,0,0.137021922
2,1,840,12750,1,0,0,3,6,0,98055,47.484,-122.211,6969,12.07254125,90,0,0.137210024
2,1,790,5240,1,0,0,4,6,0,98118,47.5303,-122.288,5320,12.61087086,90,0,0.100720365
3,2,1410,2700,2,0,0,4,7,0,98122,47.6029,-122.302,4000,13.16158409,113,0,0.064826917
3,2.25,1530,1245,2,0,0,3,9,480,98122,47.6018,-122.297,2307,13.04979268,1,0,0.060274217
5,1,3020,4800,2,0,0,3,7,0,98122,47.6025,-122.313,1307,13.3534751,114,0,0.07563929
2,2,1130,1148,2,0,0,3,9,330,98122,47.6023,-122.314,1201,12.92634849,8,0,0.076659006
2,1,1420,4635,2,0,0,4,7,0,98115,47.68,-122.304,4635,13.11433121,74,1,0.089586151
3,2.5,1530,3296,2,0,0,3,8,0,98007,47.6181,-122.138,4099,13.25339164,17,0,0.101032941
3,2.5,1530,3464,2,0,0,3,8,0,98007,47.6179,-122.141,3446,13.21037425,17,0,0.098033592
3,2.5,1910,4488,2,0,0,3,8,0,98007,47.6176,-122.14,3696,13.3326243,17,0,0.099035298
3,2.5,3350,4007,2,0,0,3,8,800,98034,47.7277,-122.207,4167,13.36138028,10,0,0.113977974
3,2.5,2870,13695,2,0,0,3,10,0,98052,47.6944,-122.102,8472,13.67940442,24,0,0.156737857
3,2.5,3130,8750,2,0,0,3,10,0,98052,47.6954,-122.103,9003,13.64472224,24,0,0.156354912
5,2.75,3010,12611,2,0,0,3,10,0,98052,47.696,-122.102,9456,13.63841532,21,0,0.157520745
3,3.25,3060,9055,2,0,0,3,10,600,98052,47.6971,-122.101,9598,13.48003782,21,0,0.15893384
3,3.5,3190,10223,2,0,0,3,10,630,98052,47.6968,-122.102,9735,13.58609739,21,0,0.157916812
4,2.75,3130,13412,2,0,0,3,9,990,98052,47.6993,-122.102,9984,13.635187,22,0,0.159174087
4,2.5,2660,10452,2,0,0,3,9,0,98052,47.6972,-122.104,9025,13.53447303,22,0,0.156385856
4,2.5,2341,9594,2,0,0,3,9,0,98052,47.6993,-122.115,9421,13.36922346,18,0,0.148130144
4,2.5,3020,13122,2,0,0,3,9,480,98052,47.6989,-122.111,10873,13.52782849,18,0,0.15128177
3,2.5,2620,9112,2,0,0,3,9,0,98052,47.6972,-122.116,9067,13.5116991,20,0,0.146149755
4,2.75,3010,10450,2,0,0,3,9,0,98052,47.6979,-122.112,10530,13.60478953,19,0,0.149903103
3,2.5,1850,4597,2,0,0,3,8,0,98042,47.3755,-122.136,5000,12.44508955,12,0,0.263771293
3,1,1100,5100,1,0,0,4,7,0,98108,47.5231,-122.332,5100,11.77528973,102,0,0.1330751
4,2.75,2500,5100,1.5,0,0,4,7,1080,98108,47.523,-122.332,5100,12.67451255,108,0,0.133146669
3,2.5,1520,2550,2,0,0,3,7,0,98108,47.5245,-122.33,2550,12.24047407,10,0,0.130676963
2,1.75,1740,5100,1,0,0,3,6,1160,98108,47.5211,-122.33,5100,12.23076526,100,0,0.133138937
3,1.5,1640,7222,2,0,0,4,7,0,98108,47.5215,-122.33,5100,12.59473064,107,0,0.132847145
3,1.5,1070,6601,1,0,0,3,6,0,98002,47.3115,-122.209,6614,12.30115553,30,0,0.308282261
